customer_id,gender,age,tenure,monthly_charges,total_charges,contract,payment_method,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,paperless_billing,churn
C001,Male,32,12,29.85,358.2,Month-to-month,Electronic check,DSL,No,No,No,No,No,No,Yes,Yes
C002,Female,45,24,56.95,1366.8,One year,Credit card,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
C003,Male,28,6,19.85,119.1,Month-to-month,Electronic check,DSL,No,No,No,No,No,No,No,Yes
C004,Female,52,36,89.10,3207.6,Two year,Bank transfer,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
C005,Male,35,18,35.50,639.0,Month-to-month,Electronic check,DSL,No,No,No,No,No,No,Yes,Yes
C006,Female,41,42,95.45,4008.9,Two year,Credit card,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
C007,Male,26,3,15.75,47.25,Month-to-month,Electronic check,DSL,No,No,No,No,No,No,No,Yes
C008,Female,48,30,65.80,1974.0,One year,Bank transfer,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
C009,Male,31,9,25.30,227.7,Month-to-month,Electronic check,DSL,No,No,No,No,No,No,No,Yes
C010,Female,55,48,105.20,5049.6,Two year,Credit card,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
C011,Male,29,15,45.60,684.0,Month-to-month,Electronic check,DSL,No,No,No,No,No,No,Yes,Yes
C012,Female,38,27,75.90,2049.3,One year,Bank transfer,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
C013,Male,24,4,18.95,75.8,Month-to-month,Electronic check,DSL,No,No,No,No,No,No,No,Yes
C014,Female,50,39,85.30,3326.7,Two year,Credit card,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
C015,Male,33,21,55.40,1163.4,Month-to-month,Electronic check,DSL,No,No,No,No,No,No,Yes,Yes
C016,Female,44,33,70.25,2318.25,One year,Bank transfer,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
C017,Male,27,7,22.45,157.15,Month-to-month,Electronic check,DSL,No,No,No,No,No,No,No,Yes
C018,Female,47,45,98.75,4443.75,Two year,Credit card,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
C019,Male,30,11,32.80,360.8,Month-to-month,Electronic check,DSL,No,No,No,No,No,No,No,Yes
C020,Female,43,28,68.90,1929.2,One year,Bank transfer,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
C021,Male,25,5,20.15,100.75,Month-to-month,Electronic check,DSL,No,No,No,No,No,No,No,Yes
C022,Female,49,40,92.30,3692.0,Two year,Credit card,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
C023,Male,34,16,42.75,684.0,Month-to-month,Electronic check,DSL,No,No,No,No,No,No,Yes,Yes
C024,Female,39,26,72.45,1883.7,One year,Bank transfer,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
C025,Male,23,2,17.25,34.5,Month-to-month,Electronic check,DSL,No,No,No,No,No,No,No,Yes
C026,Female,51,44,102.15,4494.6,Two year,Credit card,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
C027,Male,36,19,48.90,929.1,Month-to-month,Electronic check,DSL,No,No,No,No,No,No,Yes,Yes
C028,Female,42,31,67.35,2087.85,One year,Bank transfer,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
C029,Male,28,8,26.80,214.4,Month-to-month,Electronic check,DSL,No,No,No,No,No,No,No,Yes
C030,Female,46,37,88.20,3263.4,Two year,Credit card,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
C031,Male,32,13,38.45,499.85,Month-to-month,Electronic check,DSL,No,No,No,No,No,No,Yes,Yes
C032,Female,40,29,69.80,2024.2,One year,Bank transfer,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
C033,Male,26,4,19.60,78.4,Month-to-month,Electronic check,DSL,No,No,No,No,No,No,No,Yes
C034,Female,53,41,94.75,3884.75,Two year,Credit card,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
C035,Male,35,17,44.20,751.4,Month-to-month,Electronic check,DSL,No,No,No,No,No,No,Yes,Yes
C036,Female,37,25,71.15,1778.75,One year,Bank transfer,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
C037,Male,24,3,16.90,50.7,Month-to-month,Electronic check,DSL,No,No,No,No,No,No,No,Yes
C038,Female,48,43,97.60,4196.8,Two year,Credit card,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
C039,Male,31,10,30.25,302.5,Month-to-month,Electronic check,DSL,No,No,No,No,No,No,No,Yes
C040,Female,45,32,73.90,2364.8,One year,Bank transfer,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
C041,Male,29,14,41.30,578.2,Month-to-month,Electronic check,DSL,No,No,No,No,No,No,Yes,Yes
